pdb_id,cid
5TOA,5281607
7D3E,5281607
1N8S,5281607
5A5I,5281607
2PG6,5281607
2HDA,5281607
5VEU,5281607
3GNI,5281607
1QIB,5281607
2F2C,5281607
4M6N,5281607
5N2R,5281607
5UEN,5281607
3BHI,5281607
1GGZ,5281607
2ZNP,5281607
3QM4,5281607
1YOW,5281607
3B7T,5281607
4EWI,5281607
1F6W,5281607
4XZ0,5281607
2KES,5281607
4JLG,5281607
5JVS,5281607
5YZ5,5281607
4CDE,5281607
2W8N,5281607
3IR3,5281607
7YXC,5281607
2R9P,5281607
4BC5,5281607
1QIP,5281607
2POJ,5281607
4I5X,5281607
4Q0L,5281607
1SLM,5281607
5NN5,5281607
1MHL,5281607
2BYJ,5281607
2B3X,5281607
3IBD,5281607
5VAR,5281607
3F9P,5281607
5TPT,5281607
5YR7,5281607
6NB3,5281607
6D4D,5281607
2KTB,5281607
4W9N,5281607
8D43,5281607
7VLN,5281607
5C3Z,5281607
2JFD,5281607
4NW3,5281607
5L0A,5281607
4A82,5281607
5WWW,5281607
7LO7,5281607
7WKZ,5281607
4YJ5,5281607
1BQO,5281607
1Z9E,5281607
4F7N,5281607
7OBM,5281607
3CBJ,5281607
7UW6,5281607
5UKE,5282150
1XUT,5282150
2WAJ,5282150
6Q6Q,5282150
5M8R,5282150
2M2D,5282150
4JGD,5282150
6Q20,5282150
1R42,5282150
2CS5,5282150
2VCY,5282150
3LII,5282150
4BYI,5282150
1BHG,5282150
3BRT,5282150
2F25,5282150
1REX,5282150
5VAR,5282150
5UEN,5282150
2J8T,5282150
1IRP,5282150
5AKV,5282150
2ZNP,5282150
3EAY,5282150
